nullhas_digital_master,reference_id,created_at,duration,updated_at,delivery_type,id,state,published_at,created_by.type,created_by.email,economics,account_id,name,updated_by.type,updated_by.email,complete,description,custom_fields.director,custom_fields.rating,custom_fields.competition,clip_source_video_id
false,laughing_gull_2019_04_25,2019-10-25T04:48:42.445Z,0,2019-10-25T04:48:42.457Z,unknown,6097561164001,ACTIVE,2019-10-25T04:48:42.456Z,api_key,khuynh@brightcove.com,AD_SUPPORTED,6021289043001,A happy herring gull,api_key,khuynh@brightcove.com,false,,,,,
false,tpOHAyZDE6SyTVM9y4X2FvRScMZhOjra,2019-09-13T01:50:12.920Z,0,2019-10-25T01:42:21.062Z,unknown,6085821014001,ACTIVE,2019-09-13T01:50:12.948Z,api_key,khuynh@brightcove.com,AD_SUPPORTED,6021289043001,Kittens,api_key,khuynh@brightcove.com,false,Kittens,Rick,3,Master,
true,,2019-10-14T06:03:29.260Z,1853,2019-10-24T21:45:05.482Z,dynamic_origin,6094600172001,ACTIVE,2019-10-14T06:03:29.269Z,internal,,AD_SUPPORTED,6021289043001,Test Oct 2019 (Clip),internal,,true,,,,,6094600162001
false,,2019-10-14T06:00:40.678Z,-1,2019-10-14T06:00:41.963Z,live_origin,6094600162001,ACTIVE,2019-10-14T06:00:40.692Z,api_key,,AD_SUPPORTED,6021289043001,Test Oct 2019,api_key,,true,,,,,
false,,2019-10-08T00:07:24.418Z,-1,2019-10-08T00:07:25.694Z,live_origin,6093019364001,ACTIVE,2019-10-08T00:07:24.429Z,api_key,,AD_SUPPORTED,6021289043001,Test Restream,api_key,,true,,,,,
false,laughing_gull_2019_04_25,2019-10-25T04:48:42.445Z,0,2019-10-25T04:48:42.457Z,unknown,6097561164001,ACTIVE,2019-10-25T04:48:42.456Z,api_key,khuynh@brightcove.com,AD_SUPPORTED,6021289043001,A happy herring gull,api_key,khuynh@brightcove.com,false,,,,,
false,tpOHAyZDE6SyTVM9y4X2FvRScMZhOjra,2019-09-13T01:50:12.920Z,0,2019-10-25T01:42:21.062Z,unknown,6085821014001,ACTIVE,2019-09-13T01:50:12.948Z,api_key,khuynh@brightcove.com,AD_SUPPORTED,6021289043001,Kittens,api_key,khuynh@brightcove.com,false,Kittens,Rick,3,Master,
true,,2019-10-14T06:03:29.260Z,1853,2019-10-24T21:45:05.482Z,dynamic_origin,6094600172001,ACTIVE,2019-10-14T06:03:29.269Z,internal,,AD_SUPPORTED,6021289043001,Test Oct 2019 (Clip),internal,,true,,,,,6094600162001
false,,2019-10-14T06:00:40.678Z,-1,2019-10-14T06:00:41.963Z,live_origin,6094600162001,ACTIVE,2019-10-14T06:00:40.692Z,api_key,,AD_SUPPORTED,6021289043001,Test Oct 2019,api_key,,true,,,,,
false,,2019-10-08T00:07:24.418Z,-1,2019-10-08T00:07:25.694Z,live_origin,6093019364001,ACTIVE,2019-10-08T00:07:24.429Z,api_key,,AD_SUPPORTED,6021289043001,Test Restream,api_key,,true,,,,,
